Archer,Commenced,RES
Nicola,3/07/2017,Target hit 39 times from 66 shots.
Olive,9/08/2009,Target hit 42 times from 57 shots.
Harrison,24/08/2007,Target hit 49 times from 62 shots.
Peter,26/11/2009,Target hit 40 times from 53 shots.
Ben,6/05/2022,Target hit 17 times from 52 shots.
Kieran,18/11/2013,Target hit 35 times from 56 shots.
Elodie,8/12/2021,Target hit 21 times from 53 shots.
Ebony,11/10/2014,Target hit 36 times from 56 shots.
Belinda,8/02/2011,Target hit 42 times from 57 shots.
Alyssa,24/01/1998,Target hit 49 times from 51 shots.
Jasper,21/03/2021,Target hit 26 times from 59 shots.
Sarah,28/01/2003,Target hit 58 times from 66 shots.
Toby,7/07/2018,Target hit 30 times from 54 shots.
Zara,27/03/1998,Target hit 57 times from 65 shots.
Arlo,4/09/2018,Target hit 26 times from 50 shots.
Jackson,9/09/2018,Target hit 39 times from 66 shots.
Rhys,30/08/2008,Target hit 36 times from 50 shots.
Phoebe,25/05/2016,Target hit 36 times from 56 shots.
Clinton,21/09/2002,Target hit 45 times from 54 shots.
Dominic,9/06/2002,Target hit 48 times from 56 shots.
Geoffrey,9/03/2004,Target hit 51 times from 60 shots.
Ava,8/10/2003,Target hit 42 times from 51 shots.
Harlow,28/10/2004,Target hit 55 times from 64 shots.
Henry,16/10/2022,Target hit 27 times from 66 shots.
Lara,19/10/2002,Target hit 50 times from 59 shots.
Miles,10/06/1999,Target hit 48 times from 59 shots.
Donna,8/04/2012,Target hit 36 times from 52 shots.
Elias,2/01/2004,Target hit 54 times from 65 shots.
Colin,21/07/2000,Target hit 56 times from 67 shots.
Ashleigh,14/09/2015,Target hit 34 times from 54 shots.
Chad,30/06/2012,Target hit 41 times from 57 shots.
Jacob,22/05/2015,Target hit 37 times from 60 shots.
Archer,10/01/2005,Target hit 48 times from 55 shots.
Adeline,11/05/2000,Target hit 46 times from 54 shots.
Julia,5/05/2019,Target hit 26 times from 50 shots.
Jeremy,18/03/2014,Target hit 34 times from 54 shots.
James,18/07/2016,Target hit 30 times from 51 shots.
Aaliyah,28/09/2004,Target hit 49 times from 60 shots.
Harley,21/03/2003,Target hit 54 times from 62 shots.
Gabriella,23/06/1999,Target hit 60 times from 69 shots.
Stuart,8/09/1998,Target hit 52 times from 59 shots.
Kiara,9/12/2011,Target hit 48 times from 69 shots.
Mila,6/12/2001,Target hit 52 times from 63 shots.
Maddison,11/01/2006,Target hit 52 times from 69 shots.
Maisie,5/09/2018,Target hit 34 times from 62 shots.
Remy,26/12/2017,Target hit 28 times from 51 shots.
Carter,14/03/2011,Target hit 43 times from 56 shots.
Sharon,7/02/2007,Target hit 47 times from 56 shots.
Joanne,21/11/1997,Target hit 47 times from 52 shots.
Phoenix,31/12/2020,Target hit 28 times from 58 shots.
Muhammad,2/07/2014,Target hit 38 times from 53 shots.
Tyson,19/05/2006,Target hit 38 times from 51 shots.
Kate,8/03/2000,Target hit 44 times from 51 shots.
Charlize,17/09/2014,Target hit 37 times from 58 shots.
Remi,21/02/2017,Target hit 41 times from 69 shots.
Luna,16/08/2012,Target hit 36 times from 52 shots.
Ella,1/01/1900,Target hit 53 times from 70 shots.
Candice,12/10/2000,Target hit 50 times from 56 shots.
Audrey,29/06/2004,Target hit 40 times from 50 shots.
Mitchell,18/10/2010,Target hit 43 times from 63 shots.
Mateo,20/05/2022,Target hit 28 times from 69 shots.
Stacey,30/03/2007,Target hit 54 times from 68 shots.
Kristie,19/02/2016,Target hit 37 times from 59 shots.
Melinda,3/08/2018,Target hit 37 times from 70 shots.
Asher,9/01/1999,Target hit 53 times from 61 shots.
Aurora,10/10/2003,Target hit 44 times from 52 shots.
Deborah,28/04/2001,Target hit 47 times from 55 shots.
Nicole,5/07/2017,Target hit 36 times from 65 shots.
Harriet,1/07/2003,Target hit 49 times from 58 shots.
Amara,23/10/2011,Target hit 47 times from 66 shots.
Amber,18/09/2003,Target hit 55 times from 64 shots.
Charlie,27/02/2012,Target hit 37 times from 52 shots.
Bianca,30/04/1998,Target hit 62 times from 69 shots.
Simone,24/02/2016,Target hit 30 times from 54 shots.
Matthew,9/07/2021,Target hit 27 times from 59 shots.
Justin,1/12/2018,Target hit 28 times from 51 shots.
Finn,30/09/2009,Target hit 46 times from 63 shots.
Caroline,15/08/2018,Target hit 27 times from 51 shots.
Shakira,4/05/2021,Target hit 27 times from 68 shots.
Danny,10/08/2018,Target hit 38 times from 67 shots.
Caitlin,16/10/2012,Target hit 34 times from 51 shots.
Charli,12/06/2012,Target hit 39 times from 55 shots.
Zoey,20/03/2010,Target hit 45 times from 64 shots.
Jacqueline,21/12/2022,Target hit 22 times from 65 shots.
Rodney,26/10/1996,Target hit 59 times from 69 shots.
Carly,2/12/1997,Target hit 52 times from 58 shots.
Jaxon,5/08/1997,Target hit 54 times from 59 shots.
Brad,18/11/2016,Target hit 33 times from 56 shots.
Talia,24/05/2007,Target hit 44 times from 61 shots.
Abbey,14/09/2014,Target hit 36 times from 58 shots.
Vanessa,12/12/2019,Target hit 35 times from 68 shots.
Caleb,12/06/1999,Target hit 58 times from 66 shots.
Ariana,14/01/2007,Target hit 45 times from 58 shots.
William,26/01/1999,Target hit 49 times from 55 shots.
Natalie,22/01/2015,Target hit 46 times from 68 shots.
Jane,4/06/2001,Target hit 44 times from 51 shots.
Lucas,25/08/2021,Target hit 27 times from 65 shots.
Poppy,6/05/2009,Target hit 37 times from 52 shots.
Lincoln,21/05/2020,Target hit 33 times from 70 shots.
Savannah,13/10/2020,Target hit 30 times from 64 shots.
Elena,5/03/2020,Target hit 36 times from 70 shots.
Layla,6/05/2008,Target hit 42 times from 52 shots.
Quinn,30/08/2012,Target hit 44 times from 64 shots.
Brianna,22/07/2002,Target hit 46 times from 56 shots.
Tracy,23/08/2021,Target hit 27 times from 70 shots.
Jarrod,9/04/1998,Target hit 47 times from 55 shots.
Theodore,29/05/2019,Target hit 36 times from 69 shots.
Aisha,28/11/2020,Target hit 24 times from 52 shots.
Connor,26/07/2013,Target hit 34 times from 51 shots.
Russell,14/07/1999,Target hit 51 times from 59 shots.
Sophia,18/12/2017,Target hit 31 times from 58 shots.
Billy,12/04/2011,Target hit 51 times from 70 shots.
Makayla,31/08/2003,Target hit 53 times from 66 shots.
Levi,17/08/1997,Target hit 62 times from 70 shots.
Monique,23/01/2019,Target hit 33 times from 59 shots.
Roman,4/11/1996,Target hit 44 times from 51 shots.
Natasha,20/11/2006,Target hit 39 times from 54 shots.
Benjamin,10/11/2020,Target hit 24 times from 50 shots.
Max,23/07/2003,Target hit 56 times from 66 shots.
Kane,9/08/2019,Target hit 26 times from 50 shots.
Daisy,18/09/2001,Target hit 62 times from 67 shots.
Axel,18/08/2018,Target hit 36 times from 70 shots.
Brooke,28/09/1998,Target hit 59 times from 65 shots.
Kayla,23/10/1997,Target hit 48 times from 54 shots.
Kaia,22/06/2011,Target hit 38 times from 51 shots.
Gabrielle,23/02/2020,Target hit 25 times from 50 shots.
Brendon,2/08/2012,Target hit 36 times from 59 shots.
Austin,1/12/2011,Target hit 35 times from 50 shots.
Chantelle,8/08/2000,Target hit 49 times from 58 shots.
Zac,11/07/2008,Target hit 54 times from 70 shots.
Timothy,20/03/2002,Target hit 58 times from 66 shots.
Brock,2/04/2013,Target hit 33 times from 50 shots.
Jude,10/07/2018,Target hit 31 times from 54 shots.
Luke,1/05/2004,Target hit 56 times from 67 shots.
Ryder,16/04/2003,Target hit 45 times from 54 shots.
Julian,11/12/2017,Target hit 30 times from 51 shots.
Ricky,23/11/1998,Target hit 55 times from 61 shots.
Callie,18/03/2012,Target hit 44 times from 64 shots.
Michael,4/06/2011,Target hit 43 times from 62 shots.
Isla,6/04/2014,Target hit 34 times from 54 shots.
Archie,27/09/2016,Target hit 28 times from 52 shots.
Liam,5/07/2003,Target hit 58 times from 68 shots.
Skye,13/05/2010,Target hit 44 times from 61 shots.
Aiden,23/03/1999,Target hit 51 times from 58 shots.
Edward,8/10/2019,Target hit 26 times from 54 shots.
Rachael,1/12/2019,Target hit 26 times from 50 shots.
Craig,21/06/2009,Target hit 39 times from 52 shots.
Laura,27/06/1998,Target hit 50 times from 59 shots.
Lisa,9/07/2004,Target hit 43 times from 54 shots.
Jasmin,4/03/1999,Target hit 62 times from 69 shots.
Jessica,3/02/2011,Target hit 33 times from 50 shots.
Sadie,25/02/2009,Target hit 50 times from 64 shots.
Andrew,26/12/2022,Target hit 23 times from 56 shots.
Bodhi,11/06/2014,Target hit 47 times from 70 shots.
Erin,22/03/2010,Target hit 53 times from 70 shots.
Claire,24/04/2012,Target hit 36 times from 51 shots.
Tiana,15/05/2001,Target hit 57 times from 66 shots.
Bronwyn,29/02/2004,Target hit 47 times from 56 shots.
Anita,20/09/2014,Target hit 34 times from 51 shots.
Eliza,28/10/2000,Target hit 53 times from 61 shots.
Sophie,14/12/1999,Target hit 39 times from 51 shots.
Tyler,5/02/2016,Target hit 38 times from 62 shots.
Catherine,17/02/2001,Target hit 57 times from 69 shots.
Angela,11/09/2008,Target hit 50 times from 68 shots.
Karen,20/08/2007,Target hit 54 times from 67 shots.
Travis,9/02/2012,Target hit 47 times from 66 shots.
Logan,12/06/2006,Target hit 49 times from 64 shots.
Abigail,6/02/2004,Target hit 41 times from 52 shots.
Milla,21/12/2016,Target hit 30 times from 54 shots.
Kimberly,23/10/1998,Target hit 57 times from 65 shots.
Lee,15/02/2010,Target hit 39 times from 50 shots.
Tamara,6/08/2016,Target hit 24 times from 50 shots.
Leah,18/05/2013,Target hit 39 times from 61 shots.
Xavier,25/04/1999,Target hit 59 times from 68 shots.
Leon,14/10/2004,Target hit 49 times from 58 shots.
Adrian,21/09/2021,Target hit 20 times from 51 shots.
Brian,2/05/2009,Target hit 40 times from 56 shots.
Sebastian,19/05/2009,Target hit 48 times from 65 shots.
Tori,29/11/2016,Target hit 35 times from 62 shots.
Karina,13/04/2002,Target hit 54 times from 65 shots.
Lola,21/03/2014,Target hit 41 times from 63 shots.
